"user_26","0.5555555555555556=0.21212121212121213=0.30701754385964913"
"user_46","0.49295774647887325=0.1912568306010929=0.2755905511811023"
"user_30","0.44285714285714284=0.16666666666666666=0.24218749999999997"
"user_2","0.6060606060606061=0.23121387283236994=0.33472803347280333"
"user_15","0.5135135135135135=0.20212765957446807=0.2900763358778626"
"user_5","0.4861111111111111=0.19553072625698323=0.2788844621513944"
"user_41","0.42857142857142855=0.16363636363636364=0.23684210526315788"
"user_40","0.5915492957746479=0.22580645161290322=0.32684824902723736"
"user_9","0.49230769230769234=0.18604651162790697=0.270042194092827"
"user_16","0.5263157894736842=0.20134228187919462=0.29126213592233"
"user_36","0.4383561643835616=0.1711229946524064=0.24615384615384614"
"user_14","0.39344262295081966=0.15384615384615385=0.22119815668202764"
"user_25","0.5362318840579711=0.2032967032967033=0.2948207171314741"
"user_27","0.4626865671641791=0.1791907514450867=0.25833333333333336"
"user_38","0.45161290322580644=0.1761006289308176=0.253393665158371"
"user_8","0.49230769230769234=0.1927710843373494=0.2770562770562771"
"user_11","0.49230769230769234=0.1927710843373494=0.2770562770562771"
"user_20","0.4307692307692308=0.1696969696969697=0.24347826086956526"
"user_3","0.4782608695652174=0.18435754189944134=0.26612903225806456"
"user_33","0.5223880597014925=0.2=0.2892561983471075"
"user_45","0.38333333333333336=0.14935064935064934=0.2149532710280374"
"user_22","0.47761194029850745=0.18497109826589594=0.26666666666666666"
"user_19","0.45714285714285713=0.17486338797814208=0.25296442687747034"
"user_31","0.453125=0.17682926829268292=0.2543859649122807"
"user_42","0.5441176470588235=0.2138728323699422=0.30705394190871366"
"user_37","0.4852941176470588=0.1907514450867052=0.2738589211618257"
"user_39","0.6=0.24161073825503357=0.3444976076555024"
"user_48","0.4696969696969697=0.1791907514450867=0.2594142259414226"
"user_7","0.4057971014492754=0.15469613259668508=0.224"
"user_10","0.5230769230769231=0.2111801242236025=0.3008849557522124"
"user_21","0.515625=0.20245398773006135=0.29074889867841414"
"user_4","0.547945205479452=0.21390374331550802=0.3076923076923077"
"user_17","0.390625=0.14705882352941177=0.21367521367521367"
"user_29","0.5230769230769231=0.20238095238095238=0.2918454935622318"
"user_23","0.5441176470588235=0.2138728323699422=0.30705394190871366"
"user_0","0.5806451612903226=0.2222222222222222=0.3214285714285714"
"user_34","0.5396825396825397=0.2085889570552147=0.30088495575221236"
"user_12","0.5483870967741935=0.2073170731707317=0.3008849557522124"
"user_44","0.4117647058823529=0.16568047337278108=0.23628691983122363"
"user_43","0.4696969696969697=0.1781609195402299=0.25833333333333336"
"user_18","0.46551724137931033=0.18243243243243243=0.2621359223300971"
"user_32","0.49206349206349204=0.18902439024390244=0.27312775330396477"
"user_49","0.5138888888888888=0.2032967032967033=0.2913385826771654"
"user_1","0.48=0.18274111675126903=0.2647058823529412"
"user_47","0.5806451612903226=0.23684210526315788=0.3364485981308411"
"user_6","0.45454545454545453=0.17341040462427745=0.2510460251046025"
"user_24","0.47368421052631576=0.1875=0.2686567164179105"
"user_13","0.5=0.1901840490797546=0.27555555555555555"
"user_35","0.5428571428571428=0.20430107526881722=0.296875"
"user_28","0.44776119402985076=0.17543859649122806=0.2521008403361344"
